Significance Analysis of Microarrays by gene																			
Gene Name	Differentiated			Immunoreactive			Mesenchymal			Proliferative			Chromosome name	Band	Description				
	Score	Fold Change	Q-value	Score	Fold Change	Q-value	Score	Fold Change	Q-value	Score	Fold Change	Q-value							
A2BP1	-0,7673	0,9222	16,6018	-1,2671	0,8801	9,5943	-0,3066	0,9708	21,5379	2,1369	1,2171	0,6935	16	p13.2	"Fox-1 homolog (Ataxin-2-binding protein 1) (Hexaribonucleotide-binding protein 1). [Source:Uniprot/SWISSPROT;Acc:Q9NWB1]"				
A2M	-0,8158	0,9305	13,9168	5,1992	1,5284	0	4,625	1,4372	0	-9,045	0,5301	0	12	p13.31	"Alpha-2-macroglobulin precursor (Alpha-2-M) (C3 and PZP-like alpha-2- macroglobulin domain-containing protein 5). [Source:Uniprot/SWISSPROT;Acc:P01023]"				
A4GALT	3,1208	1,2194	0,1677	-0,529	0,9679	27,6634	2,0096	1,1246	1,3817	-4,2301	0,792	0	22	q13.2	"Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha- 1,4-galactosyltransferase) (UDP-galactose:beta-D-galactosyl-beta1-R 4- alpha-D-galactosyltransferase) (Alpha-1,4-N- acetylglucosaminyltransferase) (Alpha4Gal-T1) (Globotriaosylceramide  [Source:Uniprot/SWISSPROT;Acc:Q9NPC4]"				
A4GNT	2,5679	1,0696	0,6697	-0,6911	0,9826	24,1232	-2,3895	0,9444	0,4599	0,6756	1,0157	15,204	3	q22.3	"Alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-) (Alpha4GnT). [Source:Uniprot/SWISSPROT;Acc:Q9UNA3]"				
AAAS	-0,1826	0,9925	29,8206	-1,9241	0,9275	2,5859	-4,2148	0,8571	0	6,1685	1,2345	0	12	q13.13	"Aladin (Adracalin). [Source:Uniprot/SWISSPROT;Acc:Q9NRG9]"				
AACS	1,9747	1,1009	2,0642	-0,1925	0,991	37,3139	-3,3532	0,8628	0,0249	1,627	1,072	2,6217	12	q24.31	"Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog). [Source:Uniprot/SWISSPROT;Acc:Q86V21]"				
AADAC	-0,7168	0,9266	16,6018	2,4983	1,2865	0,3348	1,1758	1,1206	13,23	-2,7966	0,7727	0,1052	3	q25.1	"Arylacetamide deacetylase (EC 3.1.1.-) (AADAC). [Source:Uniprot/SWISSPROT;Acc:P22760]"				
AAK1	2,555	1,0886	0,6697	-0,1273	0,9959	37,9611	-1,3527	0,9595	3,2152	-0,8083	0,9765	15,204	2	p14	"AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1). [Source:Uniprot/SWISSPROT;Acc:Q2M2I8]"				
AAMP	1,3076	1,0607	8,9075	0,8498	1,0373	16,7477	-4,4301	0,8371	0	2,2284	1,0915	0,6935	2	q35	"Angio-associated migratory cell protein. [Source:Uniprot/SWISSPROT;Acc:Q13685]"				
